Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
산업안전지도사,2021,1,산업안전보건법령,1,산업안전보건법령상 안전보건관리체제에 관한 설명으로 옳지 않은 것은?,,안전보건관리책임자는 안전관리자와 보건관리자를 지휘ㆍ감독한다.,사업주는 사업장을 실질적으로 총괄하여 관리하는 사람에게 해당 사업장의 작업환경측정 등 작업환경의 점검 및 개선에 관한 업무를 총괄하여 관리하도록 하여야 한다.,사업주는 안전관리자에게 산업 안전 및 보건에 관한 업무로서 해당작업에서 발생한 산업재해에 관한 보고 및 이에 대한 응급조치에 관한 업무를 수행하도록 하여야 한다.,"사업주는 안전보건관리책임자가「산업안전보건법」에 따른 업무를 원활하게 수행할 수 있도록 권한ㆍ시설ㆍ장비ㆍ예산, 그 밖에 필요한 지원을 해야 한다.",사업주는 안전보건관리책임자를 선임했을 때에는 그 선임 사실 및「산업안전보건법」에 따른 업무의 수행내용을 증명할 수 있는 서류를 갖추어 두어야 한다.,3
산업안전지도사,2021,1,산업안전보건법령,2,산업안전보건법령상 협조 요청 등에 관한 설명으로 옳지 않은 것은?,,고용노동부장관은 산업재해 예방에 관한 기본계획을 효율적으로 시행하기 위하여 필요하다고 인정할 때에는「공공기관의 운영에 관한 법률」에 따른 공공기관의 장에게 필요한 협조를 요청할 수 있다.,고용노동부를 제외한 행정기관의 장은 사업장의 안전 및 보건에 관하여 규제를 하려면 미리 고용노동부장관과 협의하여야 한다.,고용노동부장관은 산업재해 예방을 위하여 필요하다고 인정할 때에는 사업주단체에게 필요한 사항을 권고하거나 협조를 요청할 수 있다.,고용노동부장관은 산업재해 예방을 위하여 중앙행정기관의 장과 지방자치단체의 장 또는 공단 등 관련 기관ㆍ단체의 장에게「소득세법」에 따른 납세실적에 관한 정보의 제공을 요청할 수 있다.,고용노동부장관은 산업재해 예방을 위하여 중앙행정기관의 장과 지방자치단체의 장 또는 공단 등 관련 기관ㆍ단체의 장에게「고용보험법」에 따른 근로자의 피보험자격의 취득 및 상실 등에 관한 정보의 제공을 요청할 수 있다.,4
산업안전지도사,2021,1,산업안전보건법령,3,산업안전보건법령상 사업주가 산업안전보건위원회의 심의ㆍ의결을 거쳐야 하는 사항을 모두 고른 것은?\n\nㄱ. 안전장치 및 보호구 구입 시 적격품 여부 확인에 관한 사항\nㄴ. 작업환경측정 등 작업환경의 점검 및 개선에 관한 사항\nㄷ. 산업재해의 원인 조사 및 재발 방지대책 수립에 관한 사항 중 중대재해에 관한 사항\nㄹ. 유해하거나 위험한 기계ㆍ기구ㆍ설비를 도입한 경우 안전 및 보건 관련 조치에 관한 사항,,ㄱ,"ㄱ, ㄴ","ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",4
산업안전지도사,2021,1,산업안전보건법령,4,산업안전보건법령상 산업재해발생건수등의 공표대상 사업장에 해당하는 것은?,,사망재해자가 연간 1명 이상 발생한 사업장,사망만인율(연간 상시근로자 1만명당 발생하는 사망재해자 수의 비율)이 규모별 같은 업종의 평균 사망만인율 이상인 사업장,「산업안전보건법」에 따른 중대재해가 발생한 사업장,"산업재해 발생 사실을 은폐했거나, 은폐할 우려가 있는 사업장",「산업안전보건법」에 따른 산업재해의 발생에 관한 보고를 최근 3년 이내 1회 이상 하지 않은 사업장,2
산업안전지도사,2021,1,산업안전보건법령,5,산업안전보건법령상 안전보건관리규정에 관한 설명으로 옳은 것은?,,"사업주는 안전보건관리규정을 작성해야 할 사유가 발생한 날부터 30일 이내에, 이를 변경할 사유가 발생한 경우에는 15일 이내에 안전보건관리규정을 작성해야 한다.",사업주가 안전보건관리규정을 작성할 때에는 소방ㆍ가스ㆍ전기ㆍ교통 분야 등의 다른 법령에서 정하는 안전관리에 관한 규정과 통합하여 작성해서는 안 된다.,안전보건관리규정이 단체협약에 반하는 경우 안전보건관리규정으로 정한 기준에 따른다.,산업안전보건위원회가 설치되어 있지 아니한 사업장의 경우에는 사업주가 안전보건관리규정을 작성하거나 변경할 때에 근로자대표의 동의를 받아야 한다.,안전보건관리규정에는 안전 및 보건에 관한 관리조직에 관한 사항은 포함되지 않는다.,4
산업안전지도사,2021,1,산업안전보건법령,6,산업안전보건법령상 사업주의 의무 사항에 해당하는 것은?,,산업 안전 및 보건 정책의 수립 및 집행,해당 사업장의 안전 및 보건에 관한 정보를 근로자에게 제공,산업재해에 관한 조사 및 통계의 유지ㆍ관리,산업 안전 및 보건 관련 단체 등에 대한 지원 및 지도ㆍ감독,산업 안전 및 보건에 관한 의식을 북돋우기 위한 홍보ㆍ교육 등 안전문화 확산 추진,2
산업안전지도사,2021,1,산업안전보건법령,7,산업안전보건법령상 자율검사프로그램에 따른 안전검사를 할 수 있는 검사원의 자격을 갖추지 못한 사람은?,,「국가기술자격법」에 따른 기계ㆍ전기ㆍ전자ㆍ화공 또는 산업안전 분야에서 기사 이상의 자격을 취득한 후 해당 분야의 실무경력이 4년인 사람,「국가기술자격법」에 따른 기계ㆍ전기ㆍ전자ㆍ화공 또는 산업안전 분야에서 산업기사 이상의 자격을 취득한 후 해당 분야의 실무경력이 6년인 사람,「초ㆍ중등교육법」에 따른 고등학교ㆍ고등기술학교에서 기계ㆍ전기 또는 전자ㆍ화공 관련 학과를 졸업한 후 해당 분야의 실무경력이 6년인 사람,「고등교육법」에 따른 학교 중 수업연한이 4년인 학교에서 기계ㆍ전기ㆍ전자ㆍ화공 또는 산업안전 분야의 관련 학과를 졸업한 후 해당 분야의 실무경력이 4년인 사람,「국가기술자격법」에 따른 기계ㆍ전기ㆍ전자ㆍ화공 또는 산업안전 분야에서 기능사 이상의 자격을 취득한 후 해당 분야의 실무경력이 8년인 사람,3
산업안전지도사,2021,1,산업안전보건법령,8,산업안전보건법령상 용어에 관한 설명으로 옳지 않은 것은?,,건설공사발주자는 도급인에 해당한다.,근로자의 과반수로 조직된 노동조합이 없는 경우에는 근로자의 과반수를 대표하는 자를 근로자대표로 한다.,노무를 제공하는 사람이 업무에 관계되는 설비에 의하여 질병에 걸리는 것은 산업재해에 해당한다.,"명칭에 관계없이 물건의 제조ㆍ건설ㆍ수리 또는 서비스의 제공, 그 밖의 업무를 타인에게 맡기는 계약은 도급이다.",산업재해 중 3개월 이상의 요양이 필요한 부상자가 동시에 2명 이상 발생한 재해는 중대재해에 해당한다.,1
산업안전지도사,2021,1,산업안전보건법령,9,"산업안전보건법령상 안전보건관리책임자에 대한 신규교육 및 보수교육의 교육시간이 옳게 연결된 것은? (단, 다른 면제조건이나 감면조건을 고려하지 않음)",,"신규교육 : 6시간 이상, 보수교육 : 6시간 이상","신규교육 : 10시간 이상, 보수교육 : 6시간 이상","신규교육 : 10시간 이상, 보수교육 : 10시간 이상","신규교육 : 24시간 이상, 보수교육 : 10시간 이상","신규교육 : 34시간 이상, 보수교육 : 24시간 이상",1
산업안전지도사,2021,1,산업안전보건법령,10,산업안전보건법령상 물질안전보건자료의 작성·제출 제외 대상 화학물질 등에 해당하지 않는 것은?,,「마약류 관리에 관한 법률」에 따른 마약 및 향정신성의약품,「사료관리법」에 따른 사료,「생활주변방사선 안전관리법」에 따른 원료물질,「약사법」에 따른 의약품 및 의약외품,「방위사업법」에 따른 군수품,5
