Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방설비산업기사(기계),2010,1,소방원론,1,자연 발화가 잘 일어나기 위한 조건이 아닌 것은?,,주위의 온도가 높다.,열전도율이 낮다.,표면적이 넓다.,발열량이 작다.,4
소방설비산업기사(기계),2010,1,소방원론,2,다음 중 물과 반응하여 수소가 발생하지 않는 것은?,,Na,K,S,Li,3
소방설비산업기사(기계),2010,1,소방원론,3,다음 중 폭발을 일으킬 위험이 가장 낮은 물질은?,,수소가스,마그네슘분,밀가루,시멘트가루,4
소방설비산업기사(기계),2010,1,소방원론,4,철골콘크리트조의 기둥에서 내화구조의 기준으로 옳은 것은?,,작은 지름 15cm 이상으로서 철골을 두께 4cm 이상의 철망 몰탈로 덮은 것,작은 지름 20cm 이상으로서 철골을 두께 7cm 이상의 콘크리트 블록으로 덮은 것,작은 지름 25cm 이상으로서 철골을 두께 5cm 이상의 콘크리트로 덮은 것,작은 지름 30cm 이상으로서 철골을 두께 3cm 이상의 석재로 덮은 것,3
소방설비산업기사(기계),2010,1,소방원론,5,인화점(Flash Point)을 가장 옳게 설명한 것은?,,가연성 액체가 증기를 계속 발생하여 연소가 지속될 수 있는 최저온도,가연성 증기 발생시 연소범위의 하한계에 이르는 최저온도,고체와 액체가 평형을 유지하며 공존할 수 있는 온도,가연성 액체의 포화증기압이 대기압과 같아지는 온도,2
소방설비산업기사(기계),2010,1,소방원론,6,"일반적으로 목조건축물의 화재시 발화에서 최성기까지의 소요시간은 어느 정도인가? (단, 풍속이 거의 없을 경우를 가정한다.)",,1분마다,4 ~ 14분,30 ~ 60분,90분이상,2
소방설비산업기사(기계),2010,1,소방원론,7,다음 중 전기 화재에 해당하는 것은?,,A급화재,B급화재,C급화재,D급화재,3
소방설비산업기사(기계),2010,1,소방원론,8,Halon 1301에서 숫자 '0'은 무슨 원소가 없다는 것을 뜻하는가?,,탄소,브롬,불소,염소,4
소방설비산업기사(기계),2010,1,소방원론,9,전기시설물에 적응성이 없는 소화방식은?,,이산화탄소에 의한 소화,하론 1301에 의한 소화,마른 모래에 의한 소화,물분무에 의한 소화,3
소방설비산업기사(기계),2010,1,소방원론,10,액화천연가스(LNG)의 주성분은?,,CH$_4$,H$_2$,C$_3$H$_8$,C$_3$H$_4$,1
