Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
산업안전지도사,2015,1_A,산업안전보건법령,1,산업안전보건법령상 안전보건관리규정의 작성 등에 관한 설명으로 옳지 않은 것은?,,안전보건관리규정을 작성하여야 할 사업의 사업주는 안전보건관리규정을 작성하여야 할 사유가 발생한 날부터 30일 이내에 안전보건관리규정을 작성하여야 한다.,"안전보건관리규정에는 작업장 안전관리에 관한 사항, 안전ㆍ보건교육에 관한 사항이 포함되어야 한다.",사업주가 안전보건관리규정을 작성하는 경우에는 소방ㆍ가스ㆍ전기ㆍ교통 분야 등의 다른 법령에서 정하는 안전관리에 관한 규정과 통합하여 작성할 수 있다.,안전보건관리규정을 변경할 사유가 발생한 경우에는 그 사유를 안 날부터 15일 이내에 작성하여야 한다.,"안전보건관리규정이 해당 사업장에 적용되는 단체협약 및 취업규칙에 반하는 경우, 안전보건관리규정 중 단체협약 또는 취업규칙에 반하는 부분에 관하여는 그 단체협약 또는 취업규칙으로 정한 기준에 따른다.",4
산업안전지도사,2015,1_A,산업안전보건법령,2,"산업안전보건법령상 사업 내 안전ㆍ보건교육의 교육과정, 교육대상 및 교육시간을 나타낸 표이다. 교육과정 및 교육대상별 교육시간이 옳지 않은 것은?\n\n| 교육과정 | 교육대상 | 교육시간 |\n| --- | --- | --- |\n| 정기교육 | 사무직 종사 근로자 | ① |\n| 정기교육 | 사무직 종사 근로자 외의 근로자 중 판매업무에 직접 종사하는 근로자 | ② |\n| 정기교육 | 사무직 종사 근로자 외의 근로자 중 판매업무에 직접 종사하는 근로자 외의 근로자 | ③ |\n| 정기교육 | 관리감독자의 지위에 있는 사람 | ④ |\n| 건설업 기초안전ㆍ보건교육 | 건설 일용근로자 | ⑤ |",,매분기 2시간 이상,매분기 3시간 이상,매분기 6시간 이상,연간 16시간 이상,4시간,1
산업안전지도사,2015,1_A,산업안전보건법령,3,산업안전보건법령상 근로자에 대한 안전ㆍ보건에 관한 교육을 사업주가 자체적으로 실시하는 경우에 교육을 실시할 수 있는 사람에 해당하지 않는 사람은?,,산업안전지도사 또는 산업보건지도사,한국산업안전보건공단에서 실시하는 해당 분야의 강사요원 교육과정을 이수한 사람,"해당 사업장의 안전보건관리책임자, 관리감독자 및 산업보건의",산업안전ㆍ보건에 관하여 학식과 경험이 있는 사람으로서 고용노동부장관이 정하는 기준에 해당하는 사람,산업안전ㆍ보건에 관한 전문적인 지식과 경험이 있다고 사업주가 인정하는 전문강사요원,5
산업안전지도사,2015,1_A,산업안전보건법령,4,산업안전보건법령상 위험기계인 불도저를 타인에게 대여하는 자가 해당 불도저를 대여받은 자에게 유해ㆍ위험 방지조치로서 서면에 적어 발급해야 할 사항이 아닌 것은?,,해당 불도저의 능력,해당 불도저의 특성 및 사용 시의 주의사항,해당 불도저의 수리ㆍ보수 및 점검 내역,해당 불도저의 조작가능자격,해당 불도저의 주요 부품의 제조일,4
산업안전지도사,2015,1_A,산업안전보건법령,5,산업안전보건법령상 유해하거나 위험한 작업의 도급에 대한 인가를 받기 위해 제출하는 도급인가 신청서에 첨부하는 도급대상 작업의 공정도에 포함되어야 할 것을 모두 고른 것은?\n\nㄱ. 기계ㆍ설비의 종류 및 운전조건\nㄴ. 도급사유\nㄷ. 유해ㆍ위험물질의 종류ㆍ사용량\nㄹ. 유해ㆍ위험요인의 발생 실태 및 종사 근로자 수 등에 관한 사항,,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",4
산업안전지도사,2015,1_A,산업안전보건법령,6,산업안전보건법령상 자율안전확인대상 기계ㆍ기구등에 해당하는 것을 모두 고른 것은?\n\nㄱ. 휴대형 연마기\nㄴ. 인쇄기\nㄷ. 컨베이어\nㄹ. 식품가공용기계 중 제면기\nㅁ. 공작기계 중 평삭ㆍ형삭기,,"ㄱ, ㄴ","ㄴ, ㄷ","ㄱ, ㄷ, ㅁ","ㄷ, ㄹ, ㅁ","ㄴ, ㄷ, ㄹ, ㅁ",5
산업안전지도사,2015,1_A,산업안전보건법령,7,산업안전보건법령상 제조ㆍ수입ㆍ양도ㆍ제공 또는 사용이 금지되는 유해물질에 해당하는 것은?,,함유된 용량의 비율이 3퍼센트인 백연을 함유한 페인트,오로토-톨리딘과 그 염,함유된 용량의 비율이 4퍼센트인 벤젠을 함유하는 고무풀,알파-나프틸아민과 그 염,벤조트리클로리드,1
산업안전지도사,2015,1_A,산업안전보건법령,8,산업안전보건법령상 안전검사에 관한 설명으로 옳은 것은?,,건설현장에서 사용하는 크레인은 최초로 설치한 날부터 1년마다 안전검사를 실시한다.,"건설현장 외에서 사용하는 리프트는 사업장에 설치가 끝난 날부터 3년 이내에 최초 안전검사를 실시하되, 그 이후부터 2년마다 안전검사를 실시한다.",건설현장에서 사용하는 곤돌라는 사업장에 설치가 끝난 날부터 4년 이내에 최초 안전검사를 실시한다.,건설현장 외에서 사용하는 크레인은 최초 안전검사를 실시한 이후부터 3년마다 안전검사를 실시한다.,다른 법령에 따라 안전성에 관한 검사나 인증을 받은 경우에는 산업안전보건법령상의 안전검사가 면제된다.,2
산업안전지도사,2015,1_A,산업안전보건법령,9,산업안전보건법령상 도급인인 사업주가 도급사업 시의 안전ㆍ보건조치로서 사업별 작업장에 대해 순회점검하여야 하는 횟수가 옳은 것은?,,제조업 - 3일에 1회 이상,"서적, 잡지 및 기타 인쇄물 출판업 - 1주일에 1회 이상",금속 및 비금속 원료 재생업 - 2일에 1회 이상,건설업 - 1주일에 1회 이상,토사석 광업 - 1개월에 1회 이상,3
산업안전지도사,2015,1_A,산업안전보건법령,10,"산업안전보건법령상 직무교육에 관한 설명으로 옳은 것은? (단, 전직하여 신규로 선임된 경우는 고려하지 않음)",,직무교육기관의 장은 직무교육을 실시하기 15일 전까지 교육 일시 및 장소 등을 직무교육 대상자에게 알려야 한다.,보건관리자로 의사가 선임된 경우 선임된 후 3개월 이내에 직무를 수행하는 데 필요한 신규교육을 받아야 한다.,재해예방 전문지도기관에서 지도업무를 수행하는 사람은 해당 직위에 선임된 후 6개월 이내에 직무를 수행하는 데 필요한 신규교육을 받아야 한다.,안전보건관리책임자는 신규교육을 이수한 후 매 3년이 되는 날을 기준으로 전후 3개월 사이에 안전ㆍ보건에 관한 보수교육을 받아야 한다.,안전관리자로 선임된 자는 해당 직위에 선임된 후 6개월 이내에 직무를 수행하는 데 필요한 신규교육을 받아야 한다.,1
