Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
산업안전지도사,2018,1,산업안전보건법령,1,산업안전보건법령상 근로를 금지시켜야 하는 사람에 해당하지 않는 것은?,,정신분열증에 걸린 사람,감압증에 걸린 사람,폐 질환이 있는 사람으로서 근로에 의하여 병세가 악화될 우려가 있는 사람,심장 질환이 있는 사람으로서 근로에 의하여 병세가 악화될 우려가 있는 사람,신장 질환이 있는 사람으로서 근로에 의하여 병세가 악화될 우려가 있는 사람,2
산업안전지도사,2018,1,산업안전보건법령,2,"산업안전보건법령상 사업장의 산업재해 발생건수 등 공표에 관한 설명이다. ( )안에 들어갈 내용을 순서대로 바르게 나열한 것은?\n\n고용노동부장관은 산업재해를 예방하기 위하여 「산업안전보건법」 제10조제2항에 따른 산업재해의 발생에 관한 보고를 최근 ( ㄱ ) 이내 ( ㄴ ) 이상 하지 않은 사업장의 산업재해 발생건수, 재해율 또는 그 순위 등을 공표하여야 한다.",,"ㄱ: 1년, ㄴ: 1회","ㄱ: 2년, ㄴ: 2회","ㄱ: 3년, ㄴ: 2회","ㄱ: 5년, ㄴ: 3회","ㄱ: 5년, ㄴ: 5회",3
산업안전지도사,2018,1,산업안전보건법령,3,산업안전보건법령상 '일반석면조사'를 해야 하는 경우 그 조사사항에 해당하지 않는 것은?,,해당 건축물이나 설비에 석면이 함유되어 있는지 여부,해당 건축물이나 설비 중 석면이 함유된 자재의 종류,해당 건축물이나 설비 중 석면이 함유된 자재의 위치,해당 건축물이나 설비 중 석면이 함유된 자재의 면적,해당 건축물이나 설비에 함유된 석면의 종류 및 함유량,5
산업안전지도사,2018,1,산업안전보건법령,4,甲은 산업안전보건법령상 산업안전지도사로서 활동을 하려고 한다. 이에 관한 설명으로 옳은 것은?,,甲은 고용노동부장관이 시행하는 산업안전지도사시험에 합격하여야만 산업안전지도사의 자격을 가질 수 있다.,甲은 산업안전지도사로서 그 직무를 시작하기 전에 광역지방자치단체의 장에게 등록을 하여야 한다.,甲이 파산선고를 받은 경우라면 복권되더라도 산업안전지도사로서 등록할 수 없다.,甲은 3년마다 산업안전지도사 등록을 갱신하여야 한다.,甲이 산업안전지도사의 직무를 조직적ㆍ전문적으로 수행하기 위하여 법인을 설립하려고 하는 경우에는 「상법」 중 주식회사에 관한 규정을 적용한다.,1
산업안전지도사,2018,1,산업안전보건법령,5,산업안전보건법령상 안전관리전문기관 지정의 취소 또는 과징금에 관한 설명으로 옳은 것은?,,고용노동부장관은 안전관리전문기관이 업무정지 기간 중에 업무를 수행한 경우에는 그 지정을 취소하거나 6개월 이내의 기간을 정하여 그 업무의 정지를 명할 수 있다.,고용노동부장관은 안전관리전문기관이 위탁받은 안전관리 업무에 차질이 생기게 한 경우에는 그 지정을 취소하거나 6개월 이내의 기간을 정하여 그 업무의 정지를 명할 수 있다.,과징금은 분할하여 납부할 수 있다.,안전관리전문기관의 지정이 취소된 자는 3년 이내에는 안전관리전문기관으로 지정받을 수 없다.,"고용노동부장관은 위반행위의 동기, 내용 및 횟수 등을 고려하여 과징금 부과금액의 2분의 1 범위에서 과징금을 늘리거나 줄일 수 있으며, 늘리는 경우 과징금 부과금액의 총액은 1억원을 넘을 수 있다.",2
산업안전지도사,2018,1,산업안전보건법령,6,산업안전보건기준에 관한 규칙상 통로 등에 관한 설명으로 옳지 않은 것은?,,사업주는 계단 및 승강구 바닥을 구멍이 있는 재료로 만드는 경우 렌치나 그 밖의 공구 등이 낙하할 위험이 없는 구조로 하여야 한다.,사업주는 급유용ㆍ보수용ㆍ비상용 계단 및 나선형 계단을 설치하는 경우 그 폭을 1미터 이상으로 하여야 한다.,사업주는 높이가 3미터를 초과하는 계단에 높이 3미터 이내마다 너비 1.2미터 이상의 계단참을 설치하여야 한다.,사업주는 갱내에 설치한 통로 또는 사다리식 통로에 권상장치(卷上裝置)가 설치된 경우 권상장치와 근로자의 접촉에 의한 위험이 있는 장소에 판자벽이나 그 밖에 위험 방지를 위한 격벽(隔壁)을 설치하여야 한다.,사업주는 높이 1미터 이상인 계단의 개방된 측면에 안전난간을 설치하여야 한다.,2
산업안전지도사,2018,1,산업안전보건법령,7,산업안전보건법령상 정부의 책무 또는 사업주 등의 의무에 관한 설명으로 옳지 않은 것은?,,사업주는 안전ㆍ보건의식을 북돋우기 위하여 산업안전ㆍ보건 강조기간의 설정 및 그 시행과 관련된 시책을 마련하여야 한다.,정부는 산업재해에 관한 조사 및 통계의 유지ㆍ관리를 성실히 이행할 책무를 진다.,사업주는 해당 사업장의 안전ㆍ보건에 관한 정보를 근로자에게 제공하여야 한다.,"근로자는 사업주 또는 근로감독관, 한국산업안전보건공단 등 관계자가 실시하는 산업재해 방지에 관한 조치에 따라야 한다.",원재료 등을 제조ㆍ수입하는 자는 그 원재료 등을 제조ㆍ수입할 때 산업안전보건법령으로 정하는 기준을 지켜야 한다.,1
산업안전지도사,2018,1,산업안전보건법령,8,산업안전보건법령상 유해인자인 벤젠의 노출농도의 허용기준을 옳게 연결한 것은?\n\n| 시간가중평균값(TWA) | 단시간 노출값(STEL) |,,"0.5ppm, 2.0ppm","0.5ppm, 2.5ppm","0.5ppm, 3.0ppm","1.0ppm, 2.5ppm","1.0ppm, 3.0ppm",2
산업안전지도사,2018,1,산업안전보건법령,9,산업안전보건법령상 건강진단에 관한 설명으로 옳지 않은 것은?,,"사업주가 실시하여야 하는 근로자 건강진단에는 일반건강진단, 특수건강진단, 배치전건강진단, 수시건강진단 및 임시건강진단이 있다.",건강진단기관이 건강진단을 실시한 때에는 그 결과를 근로자 및 사업주에게 통보하고 고용노동부장관에게 보고하여야 한다.,사업주는 근로자대표가 요구할 때에는 해당 근로자 본인의 동의 없이도 그 근로자의 건강진단결과를 공개할 수 있다.,"사업주는 특수건강진단, 배치전건강진단 및 수시건강진단을 지방고용노동관서의 장이 지정하는 의료기관에서 실시하여야 한다.",사업주가 「항공법」에 따른 신체검사를 실시하여 그 건강진단을 받은 근로자는 일반건강진단을 실시한 것으로 본다.,3
산업안전지도사,2018,1,산업안전보건법령,10,산업안전보건법령상 산업안전지도사와 산업보건지도사의 업무범위에 공통적으로 해당하는 것을 모두 고른 것은?\n\nㄱ. 유해ㆍ위험방지계획서의 작성 지도\nㄴ. 안전보건개선계획서의 작성 지도\nㄷ. 공정안전보고서의 작성 지도\nㄹ. 직업병 예방을 위한 작업관리에 필요한 지도\nㅁ. 보건진단 결과에 따른 개선에 필요한 기술 지도,,ㄱ,"ㄱ, ㄴ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ, ㅁ",2
