Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방설비산업기사(기계),2010,4,소방원론,1,건물화재에서의 사망원인 중 가장 큰 비중을 차지하는 것은?,,연소가스에 의한 질식,화상,열충격,기계적 상해,1
소방설비산업기사(기계),2010,4,소방원론,2,연소를 멈추게 하는 방법이 아닌 것은?,,가연물을 제거한다.,대기압 이상으로 가압한다.,가연물을 냉각시킨다.,산소 농도를 낮춘다.,2
소방설비산업기사(기계),2010,4,소방원론,3,피난대책의 일반적 원칙이 아닌 것은?,,피난수단은 원시적인 방법으로 하는 것이 바람직하다.,피난대책은 비상시 본능 상태에서도 혼돈이 없도록 한다.,피난경로는 가능한 한 길어야 한다.,피난시설은 가급적 고정식 시설이 바람직하다.,3
소방설비산업기사(기계),2010,4,소방원론,4,이황화탄소가 연소시 발생하는 유독성의 가스는?,,황화수소,이산화질소,아세트산가스,아황산가스,4
소방설비산업기사(기계),2010,4,소방원론,5,대체 소화약제의 물리적 특성을 나타내는 용어 중 지구 온난화 지수를 나타내는 약어는?,,ODP,GWP,LOAEL,NOAEL,2
소방설비산업기사(기계),2010,4,소방원론,6,금수성 물질이 아닌 것은?,,칼륨,나트륨,알킬알루미늄,황린,4
소방설비산업기사(기계),2010,4,소방원론,7,다음 중 점화원이 될 수 없는 것은?,,전기불꽃,정전기,마찰열,기화열,4
소방설비산업기사(기계),2010,4,소방원론,8,연소반응이 일어나는 필요한 조건에 대한 설명으로 가장 거리가 먼 것은?,,산화되기 쉬운 물질,충분한 산소 공급,비휘발성인 액체,연소반응을 위한 충분한 온도,3
소방설비산업기사(기계),2010,4,소방원론,9,화재시 흡입된 일산화탄소는 혈액 내의 어떠한 물질과 작용하여 사람이 사망에 이르게 할 수 있는가?,,수분,백혈구,혈소판,헤모글로빈,4
소방설비산업기사(기계),2010,4,소방원론,10,소화약제의 화학식에 대한 표기가 틀린 것은?,,C$_3$F$_8$ : FC-3-1-10,N$_2$ : IG-100,CF$_3$CHFCF$_3$ : HFC-227ea,Ar : IG-01,1
소방설비산업기사(기계),2010,4,소방원론,11,제3류 위험물이며 금수성 물질에 해당하는 것은?,,염소산염류,적린,탄화칼슘,유기과산화물,3
소방설비산업기사(기계),2010,4,소방원론,12,화재의 분류에서 A급 화재에 속하는 것은?,,유류,목재,전기,가스,2
소방설비산업기사(기계),2010,4,소방원론,13,탄화칼슘이 물과 반응할 때 생성되는 가연성가스는?,,메탄,아세틸렌,에탄,프로필렌,2
