Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방설비산업기사(기계),2019,3,소방원론,1,화재 발생 시 물을 소화약제로 사용할 수 있는 것은?,,칼슘카바이드,무기 과산화물류,마그네슘 분말,염소산염류,4
소방설비산업기사(기계),2019,3,소방원론,2,다음 중 가스계 소화약제가 아닌 것은?,,포 소화약제,청정 소화약제,이산화탄소 소화약제,할로겐화합물 소화약제,1
소방설비산업기사(기계),2019,3,소방원론,3,건축물 화재 시 플래시오버(flash over)에 영향을 주는 요소가 아닌 것은?,,내장재료,개구율,화원의 크기,건물의 층수,4
소방설비산업기사(기계),2019,3,소방원론,4,연기의 물리·화학적인 설명으로 틀린 것은?,,화재 시 발생하는 연소생성물을 의미한다.,연기의 색상은 연소물질에 따라 다양하다.,연기의 기체로만 이루어진다.,연기의 감광계수가 크면 피난 장애를 일으킨다.,3
소방설비산업기사(기계),2019,3,소방원론,5,물의 물리·화학적 성질에 대한 설명으로 틀린 것은?,,수소결합성 물질로서 비점이 높고 비열이 크다.,100℃의 액체 물이 100℃의 수증기로 변하면 체적이 약 1600배 증가한다.,유류화재에 물을 무상으로 주수하면 질식효과 이외에 유탁액이 생성되어 유화효과가 나타난다.,비극성 공유 결합성 물질로 비점이 높다.,4
소방설비산업기사(기계),2019,3,소방원론,6,자연발화의 조건으로 틀린 것은?,,열전도율이 낮을 것,발열량이 클 것,주위의 온도가 높을 것,표면적이 작을 것,4
소방설비산업기사(기계),2019,3,소방원론,7,"제4류 위험물 중 제1석유류, 제2석유류, 제3석유류, 제4석유류를 각 품명 별로 구분하는 분류의 기준은?",,발화점,인화점,비중,연소범위,2
소방설비산업기사(기계),2019,3,소방원론,8,질식소화방법에 대한 예를 설명한 것으로 옳은 것은?,,열을 흡수할 수 있는 매체를 화염 속에 투입한다.,열용량이 큰 고체물질을 이용하여 소화한다.,중질유 화재 시 물을 무상으로 분무한다.,가연성기체의 분출화재 시 주 밸브를 닫아서 연료공급을 차단한다.,3
소방설비산업기사(기계),2019,3,소방원론,9,증기비중을 구하는 식은 다음과 같다. ( )안에 들어갈 알맞은 값은?\n\n증기비중 = $\frac{\text{분자량}}{( )}$,,15,21,22.4,29,4
소방설비산업기사(기계),2019,3,소방원론,10,알루미늄 분말 화재 시 적응성이 있는 소화약제는?,,물,마른모래,포말,강화액,2
소방설비산업기사(기계),2019,3,소방원론,11,화씨온도 122°F는 섭씨온도로 몇 ℃인가?,,40,50,60,70,2
소방설비산업기사(기계),2019,3,소방원론,12,제1류 위험물로서 그 성질이 산화성고체인 것은?,,셀룰로이드류,금속분류,아염소산염류,과염소산,3
소방설비산업기사(기계),2019,3,소방원론,13,폭발에 대한 설명으로 틀린 것은?,,보일러 폭발은 화학적 폭발이라 할 수 없다.,분무 폭발은 기상 폭발에 속하지 않는다.,수증기 폭발은 기상 폭발에 속하지 않는다.,화약류 폭발은 화학적 폭발이라 할 수 있다.,2
소방설비산업기사(기계),2019,3,소방원론,14,"부피비로 질소가 65%, 수소가 15% 이산화탄소가 20%로 혼합된 전압이 760mmHg 기체가 있다. 이때 질소의 분압은 약 몇 mmHg인가? (단, 모두 이상기체로 간주한다.)",,152,252,394,494,4
소방설비산업기사(기계),2019,3,소방원론,15,할로겐화합물 소화약제로부터 기대할 수 있는 소화작용으로 틀린 것은?,,부촉매작용,냉각작용,유화작용,질식작용,3
소방설비산업기사(기계),2019,3,소방원론,16,건축물에 화재가 발생할 때 연소확대를 방지하기 위한 계획에 해당되는 않는 것은?,,수직계획,입면계획,수평계획,용도계획,2
소방설비산업기사(기계),2019,3,소방원론,17,"산소와 질소의 혼합물인 공기의 평균 분자량은? (단, 공기는 산소 21vol%, 질소 79vol%로 구성되어 있다고 가정한다.)",,30.84,29.84,28.84,27.84,3
소방설비산업기사(기계),2019,3,소방원론,18,고가의 압력탱크가 필요하지 않아서 대용량의 포 소화설비에 채용되는 것으로 펌프의 토출관에 압입기를 설치하여 포 소화약제 압입용 펌프로 포 소화약제를 압입시켜 혼합하는 방식은?,,프레셔 프로포셔너 방식(pressure proportioner type),프레셔 사이드 프로포셔너 방식(pressure side proportioner type),펌프 프로포셔너 방식(pump proportioner type),라인 프로포셔너 방식(line proportioner type),2
소방설비산업기사(기계),2019,3,소방원론,19,전기화재가 발생되는 발화 요인으로 틀린 것은?,,역률,합선,누전,과전류,1
소방설비산업기사(기계),2019,3,소방원론,20,제1석유류는 어떤 위험물에 속하는가?,,산화성 액체,인화성 액체,자기반응성 물질,금수성 물질,2
소방설비산업기사(기계),2019,3,소방유체역학,21,다음 중 이상유체(ideal fluid)에 대한 설명으로 가장 적합한 것은?,,점성이 없는 유체,압축성이 없는 유체,점성과 압축성이 없는 유체,뉴턴의 점성법칙을 만족하는 유체,3
소방설비산업기사(기계),2019,3,소방유체역학,22,"저장용기에 압력이 800kPa이고, 온도가 80℃인 이산화탄소가 들어 있다. 이산화탄소의 비중량(N/m$^3$)은? (단, 일반기체상수는 8314J/kmol·K이다.)",,113.4,117.6,121.3,125.4,2
소방설비산업기사(기계),2019,3,소방유체역학,23,"관 속에 물이 흐르고 있다. 피토-정압관을 수은이 든 U자관에 연결하여 전압과 정압을 측정하였더니 20mm의 액면 차가 생겼다. 피토-정압관의 위치에서의 유속(m/s)은? (단, 수은의 비중은 13.6이고, 유량계수는 0.9이며, 유체는 정상상태, 비점성, 비압축성 유동이라고 가정한다.)",,2,3,11,12,1
소방설비산업기사(기계),2019,3,소방유체역학,24,옥내소화전용 소방펌프 2대를 직렬로 연결하였다. 마찰손실을 무시할 때 기대할 수 있는 효과는?,,펌프의 양정은 증가하나 유량은 감소한다.,펌프의 유량은 증대하나 양정은 감소한다.,펌프의 양정은 증가하나 유량과는 무관하다.,펌프의 유량은 증대하나 양정과는 무관하다.,3
소방설비산업기사(기계),2019,3,소방유체역학,25,"15℃의 물 24kg과 80℃의 물 85kg을 혼합한 경우, 최종 물의 온도(℃)는?",,32.8,42.5,65.7,75.5,3
소방설비산업기사(기계),2019,3,소방유체역학,26,"안지름이 2cm인 원관 내에 물을 흐르게 하여 층류 상태로부터 점차 유속을 빠르게 하여 완전 난류 상태로 될 때의 한계유속(cm/s)은? (단, 물의 동점성계수는 0.01cm$^2$/s, 완전 난류가 되는 임계레이놀즈수는 4000이다.)",,10,15,20,40,3
소방설비산업기사(기계),2019,3,소방유체역학,27,"물의 체적을 2% 축소시키는 데 필요한 압력(MPa)은? (단, 물의 체적탄성계수는 2.08GPa이다.)",,32.1,41.6,45.4,52.5,2
소방설비산업기사(기계),2019,3,소방유체역학,28,"가로 80cm, 세로 50cm이고 300℃로 가열된 평판에 수직한 방향으로 25℃의 공기를 불어주고 있다. 대류 열전달계수가 25W/m$^2$·K일 때 공기를 불어넣는 면에서의 열전달률(kW)은?",,2.04,2.75,5.16,7.33,2
소방설비산업기사(기계),2019,3,소방유체역학,29,"그림과 같이 속도 V인 자유제트가 곡면에 부딪혀 θ의 각도로 유동방향이 바뀐다. 유체가 곡면에 가하는 힘의 x,y 성분의 크기인 F$_x$와 F$_y$는 θ가 증가함에 따라 각각 어떻게 되겠는가? (단, 유동단면적은 일정하고 0°<θ<90°이다.)",O,F$_x$: 감소한다. F$_y$: 감소한다.,F$_x$: 감소한다. F$_y$: 증가한다.,F$_x$: 증가한다. F$_y$: 감소한다.,F$_x$: 증가한다. F$_y$: 증가한다.,4
소방설비산업기사(기계),2019,3,소방유체역학,30,"간격이 10mm인 평행한 두 평판 사이에 점성계수가 8×10$^{-2}$N·s/m$^2$인 기름이 가득 차있다. 한쪽 판이 정지된 상태에서 다른 판이 6m/s의 속도로 미끄러질 때 면적 1m$^2$ 당 받는 힘(N)은? (단, 평판 내 유체의 속도분포는 선형적이다.)",,12,24,48,96,3
소방설비산업기사(기계),2019,3,소방유체역학,31,"안지름이 5mm인 원형 직선 관 내에 0.2×10$^{-3}$m$^3$/min의 물이 흐르고 있다. 유량을 두 배로 하기 위해서는 직선 관 양단의 압력차가 몇 배가 되어야 하는가? (단, 물의 동점성계수는 10$^{-6}$m$^2$/s이다.)",,1.14배,1.41배,2배,4배,3
소방설비산업기사(기계),2019,3,소방유체역학,32,"세 액체가 그림과 같은 U자관 들어있을 때, 가운데 유체 S$_2$의 비중은 얼마인가? (단, 비중 S$_1$=1, S$_3$=2, h$_1$=20cm, h$_2$=10cm, h$_3$=30cm이다.)",O,1,2,4,8,3
소방설비산업기사(기계),2019,3,소방유체역학,33,"물이 들어가 있는 그림과 같은 수조에서 바닥에 지름 D의 구멍이 있다. 모든 손실과 표면 장력의 영향을 무시할 때, 바닥 아래 y지점에서의 분류 반지름 r의 값은? (단, H는 일정하게 유지된다고 가정한다.)",O,$r = \frac{\pi D^2}{4}\left(\frac{H+y}{H}\right)^{1/2}$,$r = \frac{D}{4}\left(\frac{H+y}{H}\right)^{1/4}$,$r = \frac{D}{2}\left(\frac{H}{H+y}\right)^{1/4}$,$r = \frac{D}{2}\left(\frac{H+y}{H}\right)^{1/2}$,3
소방설비산업기사(기계),2019,3,소방유체역학,34,"온도가 20℃이고, 압력이 100kPa인 공기를 가역단열 과정으로 압축하여 체적을 30%로 줄였을 때의 압력(kPa)은? (단, 공기의 비열비는 1.4이다.)",,263.9,324.5,403.5,539.5,4
소방설비산업기사(기계),2019,3,소방유체역학,35,유효낙차가 65m이고 유량이 20m$^3$/s인 수력발전소에서 수차의 이론 출력(kW)은?,,12740,1300,12.74,1.3,1
소방설비산업기사(기계),2019,3,소방유체역학,36,내경이 D인 배관에 비압축성 유체인 물이 V의 속도로 흐르다가 갑자기 내경이 3D가 되는 확대관으로 흘렀다. 확대된 배관에서 물의 속도는 어떻게 되는가?,,변화 없다.,1/3로 줄어든다.,1/6로 줄어든다.,1/9로 줄어든다.,4
소방설비산업기사(기계),2019,3,소방유체역학,37,그림에서 수문의 길이는 1.5m이고 폭은 1m이다. 유체의 비중(s)이 0.8일 때 수문에 수직방향으로 작용하는 압력에 의한 힘F(kN)의 크기는?,O,96.9,75.5,60.2,48.5,4
소방설비산업기사(기계),2019,3,소방유체역학,38,관로의 손실에 관한 내용 중 등가길이의 의미로 옳은 것은?,,부차적 손실과 같은 크기의 마찰 손실이 발생할 수 있는 직관의 길이,배관 요소 중 곡관에 해당하는 총길이,손실계수에 손실 수두를 곱한 값,"배관시스템의 밸브, 벤드, 티 등 추가적 부품의 총길이",1
소방설비산업기사(기계),2019,3,소방유체역학,39,다음 중 캐비테이션(공동현상) 방지방법으로 옳은 것은 모두 고른 것은?\n\nㄱ. 펌프의 설치위치를 낮추며 흡입양정을 작게 한다.\nㄴ. 흡입관 지름을 작게 한다.\nㄷ. 펌프의 회전수를 작게 한다.,,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄷ","ㄱ, ㄴ, ㄷ",2
소방설비산업기사(기계),2019,3,소방유체역학,40,중력가속도가 10.6m/s$^2$인 곳에서 어떤 금속체의 중량이 100N이었다. 중력가속도가 1.67m/s$^2$인 달 표면에서 이 금속체의 중량(N)은?,,13.1,14.2,15.8,17.2,3
