Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방설비산업기사(기계),2003,4,소방원론,1,방재센타에 대한 설명중 옳지 않은 것은?,,피난인원의 유도를 위하여 피난층으로부터 가능한한 높은 위치에 설치한다.,연소위험이 없도록 하고 충분한 면적을 갖도록 한다.,자동화재탐지설비의 수신기에는 경계구역 부근에 대한 소방설비 등의 위치를 명시한다.,소화설비 등의 기동에 대하여 감시제어기능을 갖추어야 한다.,1
소방설비산업기사(기계),2003,4,소방원론,2,가연성 기체 또는 액체의 연소범위에 대한 설명이 잘못된것은?,,하한이 낮을수록 발화위험이 높다.,연소범위가 넓을수록 발화위험이 크다.,상한이 높을수록 발화위험이 적다.,연소범위는 주위온도에 관계가 깊다.,3
소방설비산업기사(기계),2003,4,소방원론,3,건축물의 구조상 주요 구조부가 아닌 것은?,,기초,지붕,벽,기둥,1
소방설비산업기사(기계),2003,4,소방원론,4,증기압에 대한 설명과 관계가 없는 것은?,,증기분자의 질량이 클수록 큰 증기압이 나타난다.,분자의 운동이 커지면 증기압이 증가한다.,액체의 온도가 상승하면 증기압이 증가한다.,증발과 응축이 평형상태일 때의 압력을 포화증기압이라한다.,1
소방설비산업기사(기계),2003,4,소방원론,5,내화구조가 아닌 것은?,,철골트러스,연와조,철근콘크리트조,석조,1
소방설비산업기사(기계),2003,4,소방원론,6,화재의 원인중 인위적 발생 요인이 아닌 것은?,,화기 취급 부주의로 인한 발화,가연물 취급 부주의로 인한 발화,"기계, 기구의 마찰로 인한 발화",개발을 하기 위한 방화,3
소방설비산업기사(기계),2003,4,소방원론,7,소화약제로 사용하는 CO$_2$에 대한 설명중 옳은 것은?,,미소량의 수분을 포함할 수 있다.,화염과 접촉하여 유독물질을 생성시킨다.,"A,B,C,D급 화재의 진화에 쓰인다.",불안정한 물질이지만 소화효과는 좋다.,1
소방설비산업기사(기계),2003,4,소방원론,8,화재를 발생시키는 열원으로 기계적 원인으로 볼 수 있는 것은?,,저항열,압축열,분해열,자연발열,2
소방설비산업기사(기계),2003,4,소방원론,9,"'하나의 물체가 다른 물체와 직접 접촉하여 전달되는 과정을 말하며 이것은 일정 시간내에 전달되는 열량은 고온부와 저온부의 온도차에 비례하여 열전도도, 길이 및 두께에 따라 다르다' 이것은 무엇을 설명한 것인가?",,대류,복사,전도,열전달,3
소방설비산업기사(기계),2003,4,소방원론,10,"급격한 화학반응에 의하여 본래의 물질이 고온, 고압의 기체로 격렬한 팽창에 의하여 생기는 현상을 폭발이라 할수 있으며 폭발은 크게 4가지 변화의 결과에 의하여 발생한다. 이에 해당되지 않은 것은?",,화학적변화,기계적변화,열적변화,전기적변화,4
소방설비산업기사(기계),2003,4,소방원론,11,내화건축물의 화재성상인 후래시 오버(flash-over)현상과 관계가 없는 것은?,,실내온도가 800∼900℃에 도달한다.,바닥부분에 모인 가연성기체가 폭발적으로 연소한다.,화재발생 후 약 5∼6분경에 발생한다.,성장기와 최성기사이에서 발생한다.,2
소방설비산업기사(기계),2003,4,소방원론,12,건물 내부에 화재가 발생하여 혈액 중의 산소운반 물질인 헤모글로빈과 결합하여 카르복시 헤모글로빈이 발생하므로써 산소의 혈중 농도를 저하시켜서 질식을 가져오거나 근육의 활동을 정지시킬 수 있는 유해성분은?,,CO,CO$_2$,H$_2$,H$_2$O,1
소방설비산업기사(기계),2003,4,소방원론,13,할론 1301(CF$_3$Br) 소화약제를 사용하여 소화할 때 연소열에 의하여 생긴 열분해 생성가스가 아닌 것은?,,HF,HBr,Br$_2$,CO$_2$,4
소방설비산업기사(기계),2003,4,소방원론,14,내장재료에 관한 설명으로 틀린 것은?,,불연재료는 불에 타지 아니하는 것으로 난연 1급에 해당한다.,"석재, 벽돌, 유리, 시멘트 모르타르 및 기타 이와 유사한 것은 불연재료이다.",난연재료는 난연 2급에 해당한다.,특별피난계단의 부속실은 그 실내에 접하는 부분의 마감을 불연재료로 하여야 한다.,3
소방설비산업기사(기계),2003,4,소방원론,15,고체 가연물이 연소할 때 나타나는 연소현상에 해당하는 것은?,,표면연소,심부연소,발염연소,불꽃연소,1
소방설비산업기사(기계),2003,4,소방원론,16,화재의 3요소가 아닌 것은?,,점화원,공기,연료,연쇄반응,4
소방설비산업기사(기계),2003,4,소방원론,17,산화성 고체와 관계가 없는 것은?,,과염소산,질산염류,아염소산염류,무기과산화물류,1
소방설비산업기사(기계),2003,4,소방원론,18,다음 설명중 틀린 것은?,,접지공사의 시행은 전기단락사고의 예방대책이라고 할 수 없다.,유증기 또는 먼지 등이 발생할 우려가 있는 장소에는 방폭형의 전기기기를 사용한다.,과전류에 의한 발화를 방지하기 위한 조치로 퓨즈나 전선의 접속을 완전하게 하여야 한다.,"누전사고를 방지하기 위한 대책으로, 전선을 움직이는 물체와 접촉되지 않도록 하는 것과는 별개의 사항이다.",4
소방설비산업기사(기계),2003,4,소방원론,19,"가연성 증기를 발생하는 액체 또는 고체와 공기의 계에 있어서, 기체상 부분에 다른 불꽃이 닿았을 때 연소가 일어나는데 필요한 액체 또는 고체의 최저온도는?",,발화점(ignition point),인화점(flash point),연소점(fire point),산화점(oxidation point),2
소방설비산업기사(기계),2003,4,소방원론,20,수소 같은 가연성 가스가 공기 중에서 산소와 혼합하면서 발염 연소하는 현상을 무엇이라 하는가?,,분해연소,확산연소,혼합연소,증발연소,2
