Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
소방설비산업기사(기계),2002,2,소방원론,1,금수성 물질인 것은?,,염소산염류,적린,금속칼슘,과산화물,3
소방설비산업기사(기계),2002,2,소방원론,2,일산화탄소(CO)를 1시간 정도 호흡했을 경우 생명에 위험을 주는 위험농도는 몇 % 정도인가?,,0.05,0.1,0.2,0.4,4
소방설비산업기사(기계),2002,2,소방원론,3,건축물의 주요 구조부가 아닌 것은?,,내력벽,지붕틀,보,옥외계단,4
소방설비산업기사(기계),2002,2,소방원론,4,액화 천연가스(LNG)의 주성분은?,,CH$_4$,H$_2$,C$_3$H$_8$,C$_2$H$_2$,1
소방설비산업기사(기계),2002,2,소방원론,5,발화의 전기적 열원이 될 수 없는 것은?,,전기저항,정전기,아크,전선피복,4
소방설비산업기사(기계),2002,2,소방원론,6,소화제의 적응대상에 따라 분류한 화재종류 중 A급 화재에 속하지 않는 것은?,,목재 화재,섬유류 화재,합성수지류 화재,전기 화재,4
소방설비산업기사(기계),2002,2,소방원론,7,다음중 방화구획을 하지 않아도 되는 경우는 어느 것인가?,,3층 이상의 층,승강기의 승강로 부분,지하층,공동주택(아파트),2
소방설비산업기사(기계),2002,2,소방원론,8,다음 류별위험물중 불연성 물질로 맞게 짝지어진 것은?,,1류·2류,3류·4류,5류·6류,1류·6류,4
소방설비산업기사(기계),2002,2,소방원론,9,주간 화재시의 현상이 아닌 것은?,,연기는 대개 백색이며 폭발적인 강한 세력으로 상승한다.,연기는 급속으로 퍼지며 끊임없이 상승한다.,연기는 상승함에 따라 흑갈색이 되며 동요가 심하다.,바람이 강할 때는 연기가 지상에 감돌기 때문에 단절하며 급속도로 상승한다.,1
소방설비산업기사(기계),2002,2,소방원론,10,불꽃의 색깔에 의한 온도의 측정에서 낮은 온도에서부터 높은 온도의 순서대로 나열한 것은?,,"암적색, 백적색, 황적색, 휘백색","암적색, 휘백색, 적색, 황적색","암적색, 황적색, 백적색, 휘백색","암적색, 휘적색, 황적색, 적색",3
소방설비산업기사(기계),2002,2,소방원론,11,피난에 관한 설명으로 틀린것은?,,피난층은 직접 지상으로 통하는 출입구가 있는 층이다.,피난층은 하나의 건축물에 반드시 1개만 존재한다.,직통계단은 건축물의 어떤층에서 피난층 또는 지상까지 이르는 경로가 계단과 계단참만을 통하여 오르내릴 수 있는 계단을 말한다.,피난을 위한 피난계단 또는 특별피난계단은 돌음계단으로 하여서는 아니된다.,2
소방설비산업기사(기계),2002,2,소방원론,12,산소와 흡열반응을 하며 연료에 함유량이 많을수록 발열량을 감소시키는 것은?,,황,수소,탄소,질소,4
소방설비산업기사(기계),2002,2,소방원론,13,"급격한 화학반응에 의하여 본래의 물질이 고온, 고압의 기체로 격렬한 팽창에 의하여 생기는 현상을 폭발이라 할수 있으며 폭발은 크게 4가지 변화의 결과에 의하여 발생한다. 이에 해당되지 않은 것은?",,화학적변화,기계적변화,열적변화,전기적변화,4
소방설비산업기사(기계),2002,2,소방원론,14,"건물 밀집지역에서 강풍시의 연소속도는 그 구조면에서 볼때 내화조1, 방화조 3의 비율일때 목조는 어느정도인가?",,2,4,6,8,3
소방설비산업기사(기계),2002,2,소방원론,15,화재로 인한 피해에는 직접피해와 간접피해로 나눌 수 있다. 간접피해에 속하는 것은?,,내장재료의 피해,인명피해,업무중지에 의한 피해,소화수에 의한 설비피해,3
소방설비산업기사(기계),2002,2,소방원론,16,후래쉬 오버에 대한 설명을 나타내고 있는 것은?,,목조건물로서 연소온도는 100℃이다.,무염착화와 동시에 일어난다.,순간적인 연소확대 현상이다.,느리게 연소되어 점차적으로 온도가 올라간다.,3
소방설비산업기사(기계),2002,2,소방원론,17,방화문에 관한 설명으로 옳은것은?,,철재및 망입유리로 된 것은 갑종 방화문이다.,철재로서 철판 두께가 1.2mm인 것은 갑종방화문이다.,골구를 철재로 하고 양면에 0.3mm이상 철판을 붙인 것은 갑종방화문이다.,철재로서 철판두께가 0.8mm 이상 1.5mm미만인 것은 을종방화문이다.,4
소방설비산업기사(기계),2002,2,소방원론,18,다음 발화원의 종류중 자연발화 형태가 틀린것은?,,건성유,고무분말,원면,퇴비,4
소방설비산업기사(기계),2002,2,소방원론,19,소화에 관한 설명으로 틀린 것은?,,분무주수는 냉각효과와 희석효과가 있다.,연소진압후의 주수는 수손방지에 유의하여야 한다.,분말소화약제는 연쇄반응차단과 산소공급차단의 효과가 있다.,유류화재시의 소화방법으로는 방수포를 이용하여 직사주수하는 것이 효과적이다.,4
소방설비산업기사(기계),2002,2,소방원론,20,다음 중 설치기준 및 목적이 고가차량(고가사다리차 또는 굴절차)과 직접적으로 관련이 있는 것은?,,옥내소화전설비,자동화재탐지설비,비상용승강기,가스계소화설비,3
